# of units,City,Area,Address,Strata Name,Postal Code,Strata Plan #,Current Management text,Construction,Year built,Link
213,Vancouver,Downtown,1068 Hornby Street,Canadian,V6Z 2Y7,LMS4157,Crosby ,Concrete,1998,http://www.vancouvercondos.com/Canadian
255,Vancouver,Downtown,550 Taylor Street,Taylor,V6B 1R1,BCS1559,Wynford Group,Concrete,2006,http://www.vancouvercondos.com/Taylor
372,Vancouver,Downtown,833 Seymour Street,Capitol Residences,V6B 0G4,BCS3995,Crosby,Concrete,2011,http://www.vancouvercondos.com/CapitolResidences
82,Vancouver,Downtown,822 Seymour Street,L'Aria,V6B 1L7,BCS1076,Rancho,Concrete,2004,http://www.vancouvercondos.com/Laria
75,Vancouver,Downtown,1252 Hornby Street,Pure, V6Z 1W2,BCS3215,Baywest,Concrete,2007,http://www.vancitycondo.com/pure-1252-hornby-street-vancouver
118,Vancouver,Downtown,55 E Cordova Street,Koret,V6A 0A5, BCS2025,Pacifica First,Concrete,2006,http://www.vancitycondo.com/koret-55-e-cordova-street-vancouver
180,Burnaby,Highgate,6688 Arcola Street,Luma,V5E 0B3, BCS4066,unlisted,Concrete,2011,http://www.burnabycondo.com/luma-6688-arcola-street-burnaby
82,Vancouver,Downtown,1 E Cordova Street,Carrall Station,V6A 4H3, LMS2854,Crosby,Concrete,1997,http://www.vancitycondo.com/carrall-station-1-e-cordova-street-vancouver
132,Vancouver,Yaletown,1067 Marinaside Crescent,Quaywest 2, V6Z 3A4, LMS4555,Crosby,Concrete,2001,http://bccondos.net/citybuilding-vancouver-west/quaywest-ii
120,Burnaby,Government Road,9101 Horne Street,Woodstone Place,V3N 4L7, NWS462,STRATACO  ,Wood Frame,1977,http://www.burnabycondo.com/woodstone-place-9101-horne-street-burnaby
20,Vancouver,Downtown,41 Alexander Street,Captain French,V6A 1B2, VAS2797,Self Managed,Concrete,1991,http://www.vancitycondo.com/captain-french-41-alexander-street-vancouver
81,Vancouver,Coal Harbour,277 Thurlow Street,Three Harbour Green,V6C 0C1,EPS677,Macdonald Commercial,Concrete,2012,http://bccondos.net/277-thurlow
39,Burnaby,Metrotown,5211 Grimmer Street,Oakterra,V5H 0A6,BCS3628,Gammon,Wood Frame,2009,http://www.burnabycondo.com/oakterra-5211-grimmer-street-burnaby
197,Coquitlam,Westwood Plateau,3050 Dayanee Springs Boulevard,"Dayanee Springs ""Bridges""",,BCS3132,Gateway,Frame - Wood,2010,http://bccondos.net/dayanee-springs
34,Vancouver,Downtown,12 Water Street,Garage,V6B 1A4,BCS3647,n/a,Concrete,2009,http://www.vancitycondo.com/garage-12-water-street-vancouver
38,Burnaby,Highgate,7645 - 7655 Edmonds Street,Bella,V3N 1B6,BCP34927,R. Jang & Associates,Wood Frame,2010,http://www.burnabycondo.com/bella-7645-7655-edmonds-street-burnaby
30,Vancouver,Downtown,53 W Hastings Street,Paris Block,V6B 1G4,BCS3221,Rancho PM ,Concrete,2008,
28,Burnaby,Metrotown,7227 Royal Oak Avenue,Viva,V5J 4J8,BCP44081,Croft,Wood Frame,2011,http://www.burnabycondo.com/viva-7227-royal-oak-avenue-burnaby
